"","Athens","Barcelona","Brussels","Calais","Cherbourg","Cologne","Copenhagen","Geneva","Gibraltar","Hamburg","Hook of Holland"
"Athens",0,3313,2963,3175,3339,2762,3276,2610,4485,2977,3030
"Barcelona",3313,0,1318,1326,1294,1498,2218,803,1172,2018,1490
"Brussels",2963,1318,0,204,583,206,966,677,2256,597,172
"Calais",3175,1326,204,0,460,409,1136,747,2224,714,330
"Cherbourg",3339,1294,583,460,0,785,1545,853,2047,1115,731
"Cologne",2762,1498,206,409,785,0,760,1662,2436,460,269
"Copenhagen",3276,2218,966,1136,1545,760,0,1418,3196,460,269
"Geneva",2610,803,677,747,853,1662,1418,0,1975,1118,895
"Gibraltar",4485,1172,2256,2224,2047,2436,3196,1975,0,2897,2428
"Hamburg",2977,2018,597,714,1115,460,460,1118,2897,0,550
"Hook of Holland",3030,1490,172,330,731,269,269,895,2428,550,0
